Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brazil,115.0,112.0,111.0,112.0,109.0,103.0,97.0,89.0,83.0,75.0,69.0,68.0,69.0,70.0,71.0,71.0,72.0,71.0,70.0,69.0,65.0,61.0,60.0,61.0,62.0,63.0,62.0,60.0,60.0,60.0,60.0,60.0
Barbados,76.0,74.0,72.0,70.0,67.0,64.0,61.0,58.0,55.0,53.0,50.0,48.0,47.0,45.0,43.0,42.0,41.0,40.0,39.0,38.0,36.0,35.0,34.0,32.0,31.0,31.0,30.0,27.0,27.0,27.0,27.0,27.0
Brunei Darussalam,33.0,30.0,29.0,30.0,31.0,31.0,30.0,29.0,28.0,28.0,28.0,28.0,29.0,30.0,30.0,29.0,28.0,27.0,27.0,27.0,28.0,28.0,29.0,28.0,29.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0
Bhutan,809.0,752.0,698.0,647.0,606.0,557.0,520.0,485.0,456.0,427.0,423.0,384.0,365.0,348.0,332.0,310.0,291.0,275.0,264.0,255.0,247.0,239.0,231.0,223.0,214.0,203.0,193.0,183.0,183.0,183.0,183.0,183.0
Botswana,250.0,227.0,216.0,212.0,213.0,218.0,224.0,233.0,243.0,253.0,262.0,271.0,278.0,278.0,264.0,239.0,221.0,209.0,203.0,189.0,179.0,176.0,170.0,164.0,160.0,156.0,151.0,144.0,144.0,144.0,144.0,144.0
Central African Republic,1230.0,1280.0,1320.0,1320.0,1330.0,1320.0,1310.0,1310.0,1310.0,1300.0,1280.0,1290.0,1280.0,1250.0,1230.0,1200.0,1170.0,1130.0,1090.0,1050.0,1000.0,981.0,963.0,1030.0,961.0,912.0,890.0,829.0,829.0,829.0,829.0,829.0
Canada,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0
Switzerland,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Chile,63.0,57.0,52.0,50.0,47.0,45.0,42.0,39.0,36.0,35.0,31.0,32.0,28.0,27.0,27.0,25.0,25.0,23.0,21.0,21.0,20.0,18.0,17.0,16.0,15.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0
China,95.0,90.0,85.0,81.0,77.0,74.0,71.0,68.0,66.0,62.0,59.0,55.0,51.0,48.0,46.0,44.0,42.0,40.0,40.0,37.0,36.0,34.0,33.0,32.0,31.0,30.0,29.0,29.0,29.0,29.0,29.0,29.0
Cote d'Ivoire,704.0,711.0,718.0,723.0,724.0,721.0,713.0,709.0,706.0,705.0,704.0,706.0,713.0,711.0,709.0,704.0,699.0,698.0,694.0,700.0,701.0,703.0,702.0,691.0,676.0,658.0,636.0,617.0,617.0,617.0,617.0,617.0
Cameroon,780.0,822.0,860.0,887.0,911.0,930.0,942.0,950.0,946.0,923.0,886.0,844.0,803.0,771.0,732.0,692.0,658.0,635.0,618.0,606.0,597.0,589.0,580.0,567.0,564.0,554.0,538.0,529.0,529.0,529.0,529.0,529.0
Congo Democratic Republic,853.0,848.0,843.0,847.0,833.0,830.0,885.0,829.0,806.0,788.0,760.0,740.0,734.0,699.0,661.0,627.0,598.0,578.0,565.0,555.0,542.0,532.0,524.0,514.0,500.0,490.0,481.0,473.0,473.0,473.0,473.0,473.0
Congo Republic,662.0,678.0,691.0,702.0,700.0,702.0,705.0,731.0,736.0,764.0,739.0,752.0,769.0,757.0,724.0,677.0,623.0,580.0,552.0,526.0,506.0,488.0,468.0,449.0,433.0,416.0,397.0,378.0,378.0,378.0,378.0,378.0
Colombia,121.0,123.0,120.0,116.0,110.0,105.0,102.0,96.0,96.0,96.0,94.0,93.0,92.0,88.0,85.0,83.0,82.0,83.0,84.0,87.0,85.0,84.0,85.0,85.0,85.0,85.0,84.0,83.0,83.0,83.0,83.0,83.0
Comoros,592.0,570.0,548.0,528.0,511.0,496.0,483.0,486.0,468.0,452.0,444.0,437.0,429.0,423.0,414.0,404.0,393.0,382.0,370.0,356.0,341.0,326.0,313.0,302.0,293.0,285.0,279.0,273.0,273.0,273.0,273.0,273.0
Cabo Verde,323.0,303.0,282.0,258.0,229.0,201.0,178.0,158.0,143.0,130.0,118.0,109.0,101.0,96.0,91.0,86.0,82.0,78.0,75.0,72.0,70.0,67.0,65.0,63.0,62.0,61.0,59.0,58.0,58.0,58.0,58.0,58.0
Costa Rica,47.0,50.0,46.0,44.0,46.0,47.0,47.0,44.0,41.0,42.0,40.0,37.0,38.0,37.0,36.0,33.0,35.0,29.0,29.0,29.0,32.0,30.0,29.0,29.0,29.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0
Cuba,63.0,63.0,64.0,62.0,61.0,59.0,56.0,52.0,52.0,48.0,46.0,44.0,41.0,41.0,40.0,41.0,38.0,38.0,40.0,40.0,41.0,38.0,39.0,40.0,39.0,38.0,37.0,36.0,36.0,36.0,36.0,36.0
Cyprus,12.0,12.0,14.0,12.0,15.0,15.0,12.0,13.0,13.0,13.0,14.0,9.0,10.0,9.0,9.0,12.0,9.0,8.0,9.0,8.0,8.0,8.0,7.0,6.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
Czechia,13.0,13.0,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
Germany,10.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0
Djibouti,603.0,613.0,631.0,587.0,599.0,569.0,553.0,544.0,535.0,526.0,507.0,490.0,470.0,449.0,426.0,393.0,361.0,335.0,320.0,299.0,283.0,272.0,262.0,256.0,256.0,247.0,246.0,248.0,248.0,248.0,248.0,248.0
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Dominican Republic,161.0,153.0,146.0,138.0,129.0,121.0,112.0,104.0,97.0,88.0,80.0,75.0,75.0,76.0,81.0,83.0,86.0,90.0,92.0,95.0,96.0,95.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0
Algeria,229.0,222.0,217.0,213.0,210.0,206.0,190.0,190.0,182.0,168.0,161.0,155.0,148.0,145.0,134.0,127.0,122.0,119.0,117.0,117.0,115.0,116.0,116.0,115.0,114.0,114.0,113.0,112.0,112.0,112.0,112.0,112.0
Ecuador,191.0,194.0,187.0,181.0,167.0,153.0,146.0,132.0,137.0,131.0,122.0,117.0,110.0,100.0,94.0,94.0,90.0,85.0,82.0,80.0,78.0,76.0,71.0,67.0,65.0,63.0,61.0,59.0,59.0,59.0,59.0,59.0
Egypt,125.0,117.0,108.0,101.0,97.0,88.0,88.0,87.0,78.0,73.0,64.0,63.0,60.0,57.0,54.0,52.0,50.0,47.0,45.0,45.0,45.0,42.0,42.0,40.0,39.0,39.0,38.0,37.0,37.0,37.0,37.0,37.0
Eritrea,1810.0,1780.0,1730.0,1670.0,1580.0,1470.0,1370.0,1300.0,1310.0,1290.0,1280.0,1180.0,1130.0,1060.0,938.0,804.0,705.0,635.0,605.0,583.0,567.0,558.0,549.0,540.0,530.0,518.0,498.0,480.0,480.0,480.0,480.0,480.0
Spain,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Estonia,42.0,41.0,40.0,46.0,61.0,46.0,37.0,32.0,33.0,29.0,29.0,27.0,25.0,20.0,18.0,18.0,16.0,17.0,14.0,14.0,11.0,13.0,12.0,10.0,11.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0
Ethiopia,1280.0,1180.0,1140.0,1110.0,1080.0,1050.0,1030.0,1000.0,994.0,1030.0,1030.0,988.0,985.0,972.0,929.0,865.0,795.0,731.0,681.0,638.0,597.0,558.0,527.0,498.0,472.0,446.0,422.0,401.0,401.0,401.0,401.0,401.0
Finland,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Fiji,74.0,71.0,68.0,66.0,63.0,61.0,59.0,57.0,54.0,52.0,51.0,49.0,48.0,48.0,47.0,46.0,44.0,43.0,42.0,40.0,39.0,38.0,38.0,37.0,36.0,35.0,34.0,34.0,34.0,34.0,34.0,34.0
France,13.0,13.0,13.0,12.0,12.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Gabon,428.0,424.0,421.0,419.0,415.0,411.0,406.0,401.0,398.0,389.0,380.0,370.0,361.0,356.0,354.0,348.0,340.0,336.0,332.0,324.0,314.0,304.0,292.0,277.0,267.0,261.0,256.0,252.0,252.0,252.0,252.0,252.0
United Kingdom,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0
Georgia,32.0,35.0,37.0,37.0,38.0,39.0,37.0,39.0,36.0,33.0,31.0,33.0,42.0,37.0,38.0,39.0,33.0,36.0,39.0,43.0,32.0,32.0,30.0,30.0,29.0,27.0,26.0,25.0,25.0,25.0,25.0,25.0
Ghana,675.0,626.0,595.0,585.0,593.0,576.0,570.0,564.0,555.0,526.0,484.0,445.0,415.0,398.0,384.0,371.0,359.0,349.0,342.0,339.0,339.0,339.0,336.0,331.0,325.0,320.0,314.0,308.0,308.0,308.0,308.0,308.0
Guinea,799.0,776.0,772.0,791.0,821.0,853.0,883.0,908.0,947.0,971.0,1020.0,1070.0,1090.0,1080.0,1020.0,920.0,831.0,772.0,754.0,750.0,747.0,748.0,744.0,731.0,767.0,699.0,621.0,576.0,576.0,576.0,576.0,576.0
Gambia,990.0,995.0,997.0,1000.0,1010.0,1000.0,991.0,982.0,967.0,955.0,932.0,905.0,876.0,843.0,802.0,756.0,716.0,690.0,675.0,668.0,661.0,656.0,650.0,644.0,637.0,625.0,611.0,597.0,597.0,597.0,597.0,597.0
Guinea-Bissau,1410.0,1370.0,1340.0,1310.0,1290.0,1260.0,1250.0,1240.0,1350.0,1260.0,1210.0,1180.0,1150.0,1110.0,1050.0,979.0,912.0,860.0,827.0,800.0,779.0,762.0,744.0,726.0,711.0,694.0,679.0,667.0,667.0,667.0,667.0,667.0
Equatorial Guinea,1100.0,1040.0,979.0,920.0,849.0,742.0,662.0,599.0,547.0,493.0,454.0,421.0,392.0,370.0,357.0,344.0,331.0,322.0,314.0,310.0,308.0,308.0,305.0,300.0,295.0,296.0,301.0,301.0,301.0,301.0,301.0,301.0
Greece,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Grenada,58.0,56.0,54.0,52.0,51.0,49.0,47.0,45.0,42.0,40.0,38.0,36.0,34.0,34.0,38.0,33.0,31.0,31.0,30.0,30.0,29.0,28.0,28.0,27.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Guatemala,236.0,251.0,260.0,242.0,237.0,187.0,168.0,175.0,172.0,154.0,161.0,147.0,145.0,137.0,137.0,142.0,137.0,132.0,125.0,131.0,129.0,122.0,118.0,113.0,107.0,103.0,98.0,95.0,95.0,95.0,95.0,95.0
Guyana,204.0,194.0,199.0,203.0,213.0,220.0,230.0,238.0,240.0,234.0,231.0,216.0,227.0,226.0,220.0,223.0,221.0,208.0,192.0,185.0,179.0,180.0,185.0,175.0,174.0,172.0,170.0,169.0,169.0,169.0,169.0,169.0
Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,159.0,149.0,139.0,132.0,121.0,112.0,104.0,98.0,97.0,89.0,85.0,83.0,80.0,78.0,77.0,77.0,77.0,77.0,76.0,75.0,74.0,72.0,70.0,69.0,68.0,67.0,65.0,65.0,65.0,65.0,65.0,65.0
Croatia,11.0,13.0,12.0,11.0,12.0,13.0,12.0,12.0,12.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0
Haiti,707.0,669.0,629.0,594.0,568.0,509.0,474.0,449.0,443.0,438.0,437.0,437.0,441.0,446.0,513.0,459.0,467.0,473.0,484.0,484.0,506.0,496.0,500.0,496.0,492.0,488.0,489.0,480.0,480.0,480.0,480.0,480.0
Hungary,23.0,23.0,23.0,23.0,21.0,20.0,18.0,18.0,17.0,17.0,16.0,15.0,16.0,15.0,15.0,15.0,14.0,15.0,14.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Indonesia,364.0,348.0,334.0,320.0,307.0,295.0,287.0,281.0,277.0,275.0,272.0,269.0,265.0,261.0,264.0,252.0,249.0,243.0,239.0,234.0,228.0,221.0,214.0,207.0,199.0,192.0,184.0,177.0,177.0,177.0,177.0,177.0
India,599.0,570.0,544.0,519.0,492.0,468.0,446.0,423.0,405.0,388.0,370.0,354.0,336.0,319.0,303.0,286.0,270.0,255.0,240.0,225.0,210.0,197.0,185.0,175.0,166.0,158.0,150.0,133.0,133.0,133.0,133.0,133.0
Ireland,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0
Iran,122.0,107.0,97.0,89.0,81.0,74.0,68.0,63.0,57.0,53.0,48.0,44.0,41.0,39.0,36.0,34.0,32.0,30.0,28.0,25.0,22.0,19.0,18.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0
Iraq,162.0,150.0,141.0,135.0,125.0,118.0,107.0,97.0,89.0,83.0,79.0,76.0,74.0,136.0,122.0,127.0,158.0,138.0,90.0,75.0,70.0,67.0,66.0,75.0,92.0,83.0,78.0,79.0,79.0,79.0,79.0,79.0
Iceland,8.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Israel,12.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Italy,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
