Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brazil,87.528,86.993,85.679,85.805,85.549,86.592,86.76,87.621,88.216,87.211,86.362,85.862,81.978,78.704,78.351,77.864,75.657,73.105,69.789,67.881,66.179,65.23,63.675,62.936,63.12,62.434,57.88,55.566,53.436,50.015,46.296,45.2
Barbados,54.331,55.043,56.765,56.318,56.399,55.938,56.26,55.827,55.928,52.703,53.139,54.927,53.007,51.115,49.185,47.61,46.114,46.1,45.655,45.758,45.138,44.533,43.017,42.192,41.888,41.555,41.218,41.438,42.154,42.163,42.421,42.297
Brunei Darussalam,37.813,37.336,36.875,34.665,32.329,30.468,28.451,27.803,28.612,28.73,29.152,27.421,24.69,23.189,21.799,20.331,19.029,18.617,17.361,16.517,15.721,15.073,14.866,13.55,12.266,11.525,10.617,10.027,10.025,9.955,10.026,9.978
Bhutan,106.404,103.258,100.371,97.457,93.652,89.5,85.273,80.934,77.698,73.285,69.775,65.79,62.261,58.385,56.846,53.76,49.694,47.613,44.87,41.708,38.769,35.764,33.867,32.736,31.189,29.516,27.035,24.207,21.632,19.659,19.242,18.977
Botswana,101.544,96.354,93.775,91.278,87.763,83.282,78.799,75.043,72.574,70.339,67.562,65.492,63.077,61.571,59.931,59.696,58.547,57.236,55.484,54.02,52.223,50.857,50.619,50.406,49.512,54.22,49.893,44.219,48.812,51.149,50.083,49.324
Central African Republic,165.343,162.341,162.736,162.232,157.857,154.169,151.059,146.8,147.806,147.542,148.779,148.257,148.045,148.417,149.858,150.981,152.402,155.886,159.478,163.109,167.675,166.463,165.212,163.105,161.483,160.531,160.608,161.927,162.886,162.614,160.744,160.507
Canada,27.61,26.658,26.245,25.498,25.47,24.651,22.72,20.555,20.158,19.119,17.452,16.495,15.407,14.856,13.945,13.475,13.66,14.163,14.606,14.636,13.964,13.02,12.556,11.665,10.859,9.685,8.607,8.054,7.094,6.888,6.985,6.978
Switzerland,7.556,8.283,7.827,7.022,6.231,5.763,5.755,5.671,5.777,6.105,6.168,5.633,5.618,5.43,5.396,5.162,4.674,4.489,4.417,4.276,4.083,3.627,3.542,3.207,3.061,2.852,2.874,2.557,2.403,2.185,2.194,2.212
Chile,68.178,70.748,70.155,70.867,70.92,70.773,70.067,68.82,67.308,63.882,61.305,59.139,56.22,51.278,49.294,50.171,52.213,53.95,55.42,54.403,53.205,52.145,50.989,48.368,44.832,40.067,34.096,27.979,24.292,24.127,24.08,24.082
China,30.986,27.892,22.499,21.184,15.419,14.349,14.217,11.911,11.641,11.92,12.579,12.917,12.814,12.675,12.528,13.389,13.712,14.324,15.141,15.998,15.908,15.488,16.256,16.013,16.39,15.327,15.282,14.901,13.325,12.939,11.73,11.048
Cote d'Ivoire,164.676,160.747,155.332,149.235,143.443,143.743,139.73,139.528,140.004,140.075,140.972,140.735,139.734,138.56,134.459,130.581,126.975,123.437,120.676,118.605,119.999,117.265,113.986,112.985,112.712,112.919,112.076,111.545,109.253,107.17,105.891,104.968
Cameroon,168.519,166.075,161.617,158.62,155.436,152.22,147.535,145.126,143.702,144.554,142.596,141.754,139.577,137.572,136.144,134.5,132.497,130.278,128.406,127.412,127.055,127.934,122.712,121.068,119.042,118.841,118.649,118.239,116.168,114.532,111.522,110.378
Congo Democratic Republic,121.212,124.363,121.407,125.55,125.933,119.954,122.856,121.595,119.475,121.811,123.988,124.149,124.499,125.464,123.8,123.716,125.396,123.455,123.167,123.115,122.612,125.142,125.911,121.654,120.208,116.739,114.663,112.84,111.573,110.747,109.898,108.962
Congo Republic,123.676,122.82,123.261,123.356,123.839,123.061,122.506,121.285,122.068,121.853,120.388,121.335,118.806,119.771,119.632,120.423,121.367,123.169,126.109,129.511,128.024,123.814,121.054,118.327,116.347,115.052,111.685,109.817,108.379,106.697,104.81,103.633
Colombia,94.916,96.557,96.149,95.368,93.656,92.325,93.528,92.106,92.16,94.957,94.675,93.506,91.952,89.734,87.94,85.791,84.132,82.937,81.029,79.433,77.996,77.638,77.554,75.843,72.843,69.796,68.128,66.226,63.885,61.82,59.708,59.034
Comoros,99.741,99.165,97.324,95.657,93.605,96.847,97.986,96.39,95.247,93.86,92.025,92.248,91.3,90.827,90.886,91.244,88.929,87.138,85.106,82.936,80.351,77.736,75.323,72.019,69.532,66.546,64.26,61.519,61.58,60.615,59.166,58.173
