Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Azerbaijan,,,,10000.0,22000000.0,330050000.0,627277000.0,1114838000.0,1022967000.0,510317000.0,129937000.0,819579000.0,2024577000.0,4007330000.0,4719107000.0,4476396000.0,4485966000.0,4594234000.0,3986807000.0,2900030000.0,3352997000.0,4485120000.0,5293250000.0,2619437000.0,4430466000.0,4047630000.0,4499666000.0,2867487000.0,1402998000.0,1503918000.0,507151800.0,-1707666000.0
Burundi,1255434.74294,892500.106741913,600088.333002617,473679.874783755,3957.84890911789,1981922.46479085,,,,-475191.305312188,11683246.077,-11440.9127038289,,,44690.7076028704,584701.692574561,31593.7781888499,500245.093059071,3833208.34759484,348404.534569828,780582.003631939,3354999.1805922,604919.651526489,116727136.517749,81747197.2345183,49622865.7705811,55420.3566564864,316473.449369742,983747.12499426,1044957.415,8722119.116,9933539.955
Belgium,8046729999.9,9362559999.9,11285799999.9,10750000000.0,8513579999.9,10688700000.0,14063900000.0,11998299999.9,22690500000.0,119692913000.0,88738714000.0,88203254000.0,18118954671.3727,34559267489.7082,44498165771.1404,33662010793.5663,58821552824.3718,96551634531.2489,190391844688.587,77354509260.1055,125491894873.016,163624381384.584,11810272330.6797,-29640924980.1455,-15205871357.966,-19514245854.7287,57538351507.0684,-37288840312.4531,-41601387266.7493,-21379939833.4956,-27359654516.0022,29515817108.0088
Benin,-2954844.09146129,393822.32951725,954317.43364815,-21635980.3291014,-7107468.70636541,-7738379.60727878,-14661253.7760882,12183267.3373419,11294143.499927,9314781.87697578,-12794843.6146594,16739539.3415644,-19395622.6954978,10638088.2576387,-40774605.0603662,-8788860.12677477,-12363482.3642044,139189943.015456,48210757.8531253,-18807407.3780513,53507087.7359353,161302390.821903,281548556.296849,360343380.324677,405737369.105159,149755663.330268,131790853.84079,200902719.348051,194073683.196865,218207871.715643,174019952.063051,345985235.68003
Burkina Faso,460000.0,570000.0,3113052.1,3178381.3,18371592.4,9816727.7,16225134.4,9765809.0,4407138.2,7925950.83,23107520.478,6267060.825,15026083.663,29122505.162,14348315.777,52130040.8814284,83849256.0712148,21711800.9008661,33190579.8762819,56653992.3324814,38870701.3569488,143845512.327138,329281976.028321,490403410.536841,357296974.294135,231901703.683869,390622353.410172,2572690.32188177,268414907.946195,162970140.263612,-98777856.0144418,-79957355.3390048
Bangladesh,3238781.18895631,1390444.32247979,3721853.38228801,14049886.5245761,11147788.327757,1896372.12711773,13529831.5362586,139376153.115317,190059372.97475,179603006.318605,280384629.677983,78527040.0772574,52304931.038967,268285231.831689,448905400.707685,813321971.875196,456523167.703824,651029738.054822,1328422986.51751,901286583.13086,1232258246.59254,1264725163.33408,1584403459.98466,2602962095.36816,2539190939.6837,2831152765.15515,2332724780.71108,1810395803.56746,2421626238.43717,1908045387.02685,1525312160.40493,1723856464.12346
Bulgaria,4000000.0,55900000.0,41500000.0,40000000.0,105400000.0,90400000.0,109000000.0,504800000.0,537317256.150851,818788154.863275,1001503841.99968,812942201.973002,904659791.087722,2096788700.05598,3072550961.81564,4098122930.77934,7874476255.43262,13875270456.9117,10296720633.7243,3896664559.17164,1842900000.0,2103810000.0,1788110000.0,1989040000.0,1093600000.0,2221390000.0,1488430000.0,2007290000.0,1809860000.0,2221250000.0,3594550000.0,2499330000.0
Bahrain,91755319.1489362,619414893.617021,868617021.276596,-275000007.923316,208244700.235544,430586743.724592,2048151879.61006,329284164.223769,179454413.27302,453737837.974613,363562321.906708,80358858.3697633,216986881.649309,516700276.442676,865308118.622994,1048601306.14142,2914659868.30075,1756312514.78198,1793998354.54447,257149561.420298,155771009.169721,780851063.829787,1544680851.06383,3727712765.95745,1518617021.2766,64893617.0212766,243351063.829787,1426063829.78723,1654255319.14894,941755319.148936,1021276595.74468,1779255319.14894
Bahamas,-17000000.0,-1300000.0,300000.0,27300000.0,23600000.0,106900000.0,87800000.0,210000000.0,146900000.0,149300000.0,250250000.0,102370000.0,152790000.0,190200000.0,273600000.0,563414700.0,706380000.0,713350000.0,860156197.03,663960000.0,871970000.0,666621000.0,526171000.0,382252000.0,251277428.82,76075924.75,390400036.41,304587573.117333,491404689.229667,482229306.391,434599799.803594,383064779.121094
Bosnia and Herzegovina,,,,,,,,,66736468.3604305,176780594.760508,146075610.876644,118495219.813023,267769568.956599,381784637.391406,889597294.548592,623812851.5592,845962876.359591,1841972230.25245,1004852659.85344,138511019.727863,443840207.092831,471610992.220788,391976946.375189,313295008.331529,544866345.45742,383089615.729344,313198153.358835,509429047.915133,601783317.146819,447875544.610653,483278992.870742,734510363.715222
Belarus,,,7000000.0,17600000.0,10500000.0,14700000.0,104500000.0,351600000.0,203200000.0,444000000.0,118800000.0,95800000.0,247100000.0,171800000.0,163800000.0,306600000.0,357100000.0,1807300000.0,2187900000.0,1876500000.0,1393400000.0,4002400000.0,1463600000.0,2246100000.0,1862000000.0,1652300000.0,1246900000.0,1276300000.0,1426500000.0,1273300000.0,1393200000.0,1230721861.86
