Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Azerbaijan,5253.44660826408,5321.81099375037,4149.74660557513,3217.65149470211,2603.60192877256,2317.59069546393,2366.63815438445,2522.62837120686,2779.61552655268,3000.92505671238,3381.66620983258,3770.85228711686,4159.94056320335,4639.79442615882,5159.85941090733,6740.4240629969,9243.49764554313,11732.8414907335,12969.2003782405,13972.5947839401,14678.7737395302,14804.5744507911,15957.7188502849,17188.9455056612,17443.8782563094,14938.4011276715,14371.0227410092,14121.4069355591,14551.2001141105,15054.544606509,14495.6569721312,15927.2101484962
Burundi,609.371647541677,648.330867116989,652.512222508418,647.477043592149,632.424953909955,559.836299430181,524.681068398009,525.83172726084,546.719839805259,535.962337056464,532.425919852103,542.030190166285,559.112337329033,545.775539314511,566.091631453863,567.700700411859,595.205565689488,609.593595544823,625.243739608448,620.896733786154,630.358192954177,646.103127483227,651.952327282116,696.497000211236,728.870060256426,797.05011411535,766.587220607525,750.787616270977,758.249031649132,760.604126124997,751.200911855438,787.942778727228
Belgium,18675.3121947985,19587.8553500426,20258.5474461442,20459.1891478373,21504.01177389,22431.459360451,22736.7580685985,23727.8975208193,24368.7574088239,25440.8411888638,27788.0908832256,28796.5795804462,30282.2886450283,30934.5826454577,32063.9826949865,33177.8909458158,35258.985063203,36799.5318686343,37883.3319417819,37748.3994331926,39833.1840540415,40942.372710454,42290.7620520019,43671.11959259,44929.685593416,46200.904454307,48597.3999826201,50442.2705419624,52530.5620821347,56621.5417607532,55756.6682522937,62107.0699329664
Benin,1220.21458185828,1275.135741128,1302.24047956983,1349.49034534688,1354.59080377176,1436.73762604785,1487.59807779095,1554.14549343527,1584.96540576118,1642.173164791,1724.54671037395,1802.32459760145,1858.76676518554,1902.50292259119,1979.29289911841,2011.39667736316,2090.28425488276,2210.7927096781,2294.86987751056,2294.60279263052,2302.6877910018,2350.35645152303,2427.43265922317,2590.92504537631,2745.85861163361,2792.60964526702,2901.26467091701,2933.83738431719,3113.25475826838,3290.30700011152,3364.9730117672,3665.19380352655
Burkina Faso,568.630146341943,625.178195411171,625.322827184169,646.047073403215,651.879799348004,685.788688392577,755.708141447607,796.589149193638,840.984430760182,889.501251044902,899.584820546202,951.314407021718,977.668518493994,1041.89856330638,1083.24931305826,1176.3572973137,1248.87304213661,1295.4671174055,1356.37219555766,1364.89564531445,1454.57874744176,1536.80894422349,1568.0668585351,1629.31783621598,1637.92805098986,1657.91610692212,1833.43305343067,1978.15501161376,2100.53092354319,2195.35561873689,2206.61225205539,2401.22808557494
Bangladesh,979.948003398134,1028.28858968046,1088.74013680047,1144.9708324815,1191.835185165,1255.4876300849,1313.07393808981,1370.95971758003,1431.06189688341,1490.19028013653,1574.3315699744,1659.71135589897,1717.97006163024,1803.13815309616,1916.45203801677,2074.01158534209,2253.20981719788,2451.5422131243,2625.40635930662,2751.21787760065,2906.05192045574,3119.92997299708,3493.9228210851,3734.72565106496,3997.28670060872,4216.71973918632,4558.56389477538,4830.77629051855,5247.69469583125,5699.07813423519,5904.56736266229,6522.55582642865
Bulgaria,7545.53138669653,7212.99291162659,6914.71617803884,7029.69006299586,7335.20045014363,7737.73640797436,6846.4401838939,5749.35702311624,6177.63244608988,5807.79182219793,6422.77942664747,6961.06261541973,7937.37826853105,8417.45455930449,9201.71602001084,10291.4238650414,11408.088727793,12822.2664644766,14346.9411471568,14180.7101006026,14955.8951303858,15747.3923747037,16327.249316632,16649.3726338943,17616.3879467033,18385.9803612081,20065.6187121395,21457.9019850147,23005.9250630132,25527.2635620283,25736.21821491,29406.5795920851
Bahrain,25731.1649187926,28594.0918342748,30129.9623716511,33643.6304591696,33149.5742476964,34045.3942781628,34962.9567076082,35548.6561420837,36559.2764541062,37570.9167849775,39360.4320898099,40186.9453085917,41161.5625780613,42900.8133510832,44006.7127561133,44780.1156664312,45651.591942431,47380.1664464359,48078.8438742404,46708.7358567087,47929.443463014,49960.2678680839,53778.4886740831,53672.1042194471,52073.9846164495,45900.7030253586,45281.3019203255,48929.4470119951,50114.1503913545,51879.7363438765,50682.7595647482,54901.512628498
Bahamas,20525.4533836103,19936.0442553921,19198.9491919612,19290.9732214977,19920.1234902522,20834.566128494,21722.0500051927,22003.2206335061,22914.2522233664,24518.3605022664,25732.9965006504,26625.89831464,27408.4499964747,27229.956414693,27829.5248446479,29274.6456939742,30511.0520850914,31344.1962349777,30761.9272227029,29242.2905183157,29629.2525061559,30053.6711228981,30723.1730198362,29911.9168395845,31255.387707412,31746.8033825774,32112.2038931048,34067.8461834433,35647.1369697242,35780.7596716952,27595.9694509426,33614.7395177735
Bosnia and Herzegovina,,,,,943.241639687652,1166.98974063666,2155.14670805565,2844.3373452073,3270.67318051207,3601.95158393606,4127.60380494155,4291.22946984878,4743.32635505707,4911.70028426936,5405.69712517756,5959.02483138061,6879.30694188748,7697.02150079236,8595.84805046621,8698.18899462159,9087.64475202939,9757.99152824532,10109.3907422377,10788.2778583201,11148.3878335826,11825.9932485406,12869.7519392948,13582.1736974909,14801.2221637835,16354.4901444071,16276.0466407681,18379.5525047191
